GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mailversendala,de.aikiit.mailversendala.csv,CsvParser,0,57,0,2,0,21,0,5,0,4
mailversendala,de.aikiit.mailversendala.csv,Mailing,170,58,38,0,0,6,26,7,7,7
mailversendala,de.aikiit.mailversendala.csv,Mailing.MailingBuilder,27,35,0,0,0,1,1,6,1,6
mailversendala,de.aikiit.mailversendala.template,VelocityMailTemplate,0,85,0,0,0,18,0,5,0,5
mailversendala,de.aikiit.mailversendala.template,FileMailTemplate,0,58,0,0,0,11,0,5,0,5
mailversendala,de.aikiit.mailversendala,MailConfig,5,111,1,1,1,27,2,12,1,12
mailversendala,de.aikiit.mailversendala,App,0,16,0,0,0,6,0,3,0,3
mailversendala,de.aikiit.mailversendala,SendOut,65,285,7,9,16,51,7,6,0,5
mailversendala,de.aikiit.mailversendala,Mailversendala,11,112,1,3,4,27,2,4,1,3
mailversendala,de.aikiit.mailversendala,MailingResult,0,59,0,4,0,12,0,8,0,6
